W,Tag,Class,D(x)
not,R,MN,-0.00204903
bad,A,MN,-0.00086926
just,R,MN,-0.00063018
even,R,MN,-0.00052293
then,R,MN,-0.00042652
never,R,MN,-0.00042603
poor,A,MN,-0.00036883
terrible,A,MN,-0.0003613
so,R,MN,-0.00034739
worst,A,MN,-0.00029209
only,R,MN,-0.00027982
horrible,A,MN,-0.00026983
disappointing,A,MN,-0.00026095
awful,A,MN,-0.00024721
too,R,MN,-0.00018824
mediocre,A,MN,-0.00017529
boring,A,MN,-0.00017453
disappointed,A,MN,-0.00016847
least,A,MN,-0.00015548
maybe,R,MN,-0.00014831
instead,R,MN,-0.00013999
better,A,MN,-0.00013476
stupid,A,MN,-0.00013418
wrong,A,MN,-0.00012773
else,R,MN,-0.00012269
finally,R,MN,-0.00012238
completely,R,MN,-0.00012096
poorly,R,MN,-0.00011541
actually,R,MN,-0.00011468
sorry,A,MN,-0.00011154
unfortunately,R,MN,-0.00011067
ever,R,MN,-0.00011016
other,A,MN,-0.00010499
rude,A,MN,-0.00010417
slow,A,MN,-0.00009945
dry,A,MN,-0.0000994
empty,A,MN,-0.00009449
ridiculous,A,MN,-0.00009342
same,A,MN,-0.00008933
cold,A,MN,-0.00008751
okay,A,MN,-0.00007884
worse,A,MN,-0.00007881
whole,A,MN,-0.00007835
back,R,MN,-0.0000772
average,A,MN,-0.00007708
tasteless,A,MN,-0.00007691
ok,A,MN,-0.00007393
barely,R,MN,-0.0000739
main,A,MN,-0.00007154
whatsoever,R,MN,-0.00006961
almost,R,MN,-0.00006716
extremely,R,MN,-0.00006702
rubbish,A,MN,-0.00006545
about,R,MN,-0.00006533
apparently,R,MN,-0.0000632
entire,A,MN,-0.00005944
fair,A,MN,-0.000059
lame,A,MN,-0.00005819
basically,R,MN,-0.00005753
totally,R,MN,-0.00005402
later,R,MN,-0.00005394
dull,A,MN,-0.00005379
seriously,R,MN,-0.00005288
only,A,MN,-0.00005153
much,A,MN,-0.00005128
badly,R,MN,-0.00004881
ok,R,MN,-0.0000483
predictable,A,MN,-0.00004807
far,R,MN,-0.00004741
cheap,A,MN,-0.000047
obviously,R,MN,-0.00004568
pointless,A,MN,-0.00004448
long,R,MN,-0.00004425
pathetic,A,MN,-0.00004395
complete,A,MN,-0.00004393
honestly,R,MN,-0.00004271
plain,A,MN,-0.00004228
decent,A,MN,-0.00004189
bland,A,MN,-0.00004139
either,R,MN,-0.00004137
total,A,MN,-0.00004097
weak,A,MN,-0.00004064
no,R,MN,-0.00004002
much,R,MN,-0.00003962
dumb,A,MN,-0.00003958
there,R,MN,-0.00003927
tough,A,MN,-0.00003915
long,A,MN,-0.00003913
sadly,R,MN,-0.00003881
simply,R,MN,-0.00003785
salty,A,MN,-0.00003772
redeeming,A,MN,-0.00003732
rather,R,MN,-0.00003732
clearly,R,MN,-0.00003694
inedible,A,MN,-0.0000369
obvious,A,MN,-0.00003684
hardly,R,MN,-0.00003637
flat,A,MN,-0.00003546
low,A,MN,-0.00003478
less,A,MN,-0.00003417
annoying,A,MN,-0.00003395
forever,R,MN,-0.0000332
somewhere,R,MN,-0.00003255
nearly,R,MN,-0.00003194
tiny,A,MN,-0.00003176
elsewhere,R,MN,-0.00003097
positive,A,MN,-0.00003093
expensive,A,MN,-0.00002935
terribly,R,MN,-0.00002901
painful,A,MN,-0.00002882
lousy,A,MN,-0.00002843
laughable,A,MN,-0.00002833
twice,R,MN,-0.00002821
downhill,R,MN,-0.00002802
already,R,MN,-0.00002739
shallow,A,MN,-0.00002649
original,A,MN,-0.00002624
single,A,MN,-0.00002617
utterly,R,MN,-0.00002567
worst,R,MN,-0.0000254
up,R,MN,-0.00002512
uninspired,A,MN,-0.00002488
last,A,MN,-0.00002478
silly,A,MN,-0.00002466
nowhere,R,MN,-0.00002464
literally,R,MN,-0.00002458
dreadful,A,MN,-0.00002427
supposedly,R,MN,-0.00002422
crappy,A,MN,-0.00002409
flavorless,A,MN,-0.000024
unwatchable,A,MN,-0.00002391
horribly,R,MN,-0.00002357
unpleasant,A,MN,-0.0000235
fat,A,MN,-0.00002346
incredibly,R,MN,-0.00002343
inattentive,A,MN,-0.00002322
sick,A,MN,-0.00002293
burnt,A,MN,-0.00002287
frankly,R,MN,-0.00002278
tedious,A,MN,-0.00002273
potential,A,MN,-0.00002254
actual,A,MN,-0.00002235
hungry,A,MN,-0.00002193
pretentious,A,MN,-0.00002181
so-so,A,MN,-0.00002174
impossible,A,MN,-0.00002168
needless,A,MN,-0.00002168
ready,A,MN,-0.00002147
weird,A,MN,-0.00002142
anymore,R,MN,-0.00002138
thin,A,MN,-0.0000211
dirty,A,MN,-0.00002104
longer,R,MN,-0.00002094
contrived,A,MN,-0.00002093
unacceptable,A,MN,-0.00002051
random,A,MN,-0.00002025
unfunny,A,MN,-0.0000196
atrocious,A,MN,-0.00001958
soggy,A,MN,-0.00001936
dead,A,MN,-0.00001923
uncomfortable,A,MN,-0.00001902
fatty,A,MN,-0.00001888
angry,A,MN,-0.00001884
painfully,R,MN,-0.0000187
stale,A,MN,-0.00001859
loud,A,MN,-0.00001847
ridiculously,R,MN,-0.00001828
perhaps,R,MN,-0.00001804
uninteresting,A,MN,-0.00001794
overpriced,A,MN,-0.00001765
tired,A,MN,-0.00001758
lukewarm,A,MN,-0.00001751
fake,A,MN,-0.00001744
insulting,A,MN,-0.00001717
unable,A,MN,-0.00001712
remotely,R,MN,-0.00001694
off,R,MN,-0.00001692
half,A,MN,-0.00001688
unrealistic,A,MN,-0.00001687
utter,A,MN,-0.00001678
around,R,MN,-0.00001665
enough,R,MN,-0.00001637
possibly,R,MN,-0.00001634
properly,R,MN,-0.00001631
anyway,R,MN,-0.00001624
scary,A,MN,-0.00001617
miserable,A,MN,-0.00001589
asleep,R,MN,-0.00001585
big,A,MN,-0.00001577
embarrassing,A,MN,-0.00001573
such,A,MN,-0.00001555
greasy,A,MN,-0.00001546
horrendous,A,MN,-0.00001532
unbelievable,A,MN,-0.00001508
unprofessional,A,MN,-0.00001501
out,R,MN,-0.00001482
gross,A,MN,-0.00001464
lackluster,A,MN,-0.0000146
sloppy,A,MN,-0.00001447
depressing,A,MN,-0.00001443
cheesy,A,MN,-0.00001443
forgettable,A,MN,-0.00001442
available,A,MN,-0.00001421
mushy,A,MN,-0.00001409
awake,R,MN,-0.00001404
unnecessary,A,MN,-0.00001402
obnoxious,A,MN,-0.00001397
wooden,A,MN,-0.00001395
constantly,R,MN,-0.00001391
overrated,A,MN,-0.00001384
basic,A,MN,-0.0000135
edible,A,MN,-0.00001349
unhappy,A,MN,-0.00001347
useless,A,MN,-0.0000133
acceptable,A,MN,-0.00001311
unconvincing,A,MN,-0.00001304
absurd,A,MN,-0.00001304
self-absorbed,A,MN,-0.00001296
probably,R,MN,-0.0000129
whiny,A,MN,-0.0000129
repeatedly,R,MN,-0.00001283
enough,A,MN,-0.0000128
hard,R,MN,-0.00001279
away,R,MN,-0.0000126
somehow,R,MN,-0.00001259
chewy,A,MN,-0.00001256
unfriendly,A,MN,-0.00001251
arrogant,A,MN,-0.00001249
ugly,A,MN,-0.00001238
medium,A,MN,-0.00001237
marginal,A,MN,-0.00001234
entirely,R,MN,-0.00001226
suddenly,R,MN,-0.00001221
mildly,R,MN,-0.00001215
promising,A,MN,-0.00001215
offensive,A,MN,-0.00001198
amateurish,A,MN,-0.00001193
repetitive,A,MN,-0.0000119
way,R,MN,-0.00001187
down,R,MN,-0.0000118
less,R,MN,-0.00001179
secret,A,MN,-0.00001172
indifferent,A,MN,-0.00001164
miserably,R,MN,-0.00001163
selfish,A,MN,-0.00001157
incompetent,A,MN,-0.00001144
hard,A,MN,-0.00001138
idiotic,A,MN,-0.00001128
retarded,A,MN,-0.00001104
appalling,A,MN,-0.00001092
abysmal,A,MN,-0.00001092
embarrassed,A,MN,-0.00001078
annoyed,A,MN,-0.0000107
upset,A,MN,-0.00001069
unimaginative,A,MN,-0.00001067
inept,A,MN,-0.00001066
possible,A,MN,-0.0000106
inexplicably,R,MN,-0.00001057
hot,A,MN,-0.00001054
rare,A,MN,-0.00001027
ashamed,A,MN,-0.00001027
frozen,A,MN,-0.00001015
gay,A,MN,-0.0000101
overly,R,MN,-0.00001008
practically,R,MN,-0.00000999
trite,A,MN,-0.00000994
ahead,R,MN,-0.00000987
yeah,A,MN,-0.00000985
ludicrous,A,MN,-0.00000983
artsy,A,MN,-0.00000983
virtually,R,MN,-0.00000976
incorrect,A,MN,-0.00000974
sorely,R,MN,-0.00000973
unremarkable,A,MN,-0.00000973
endless,A,MN,-0.00000971
over,R,MN,-0.00000969
rudely,R,MN,-0.00000963
clear,A,MN,-0.00000962
high,A,MN,-0.00000959
self-indulgent,A,MN,-0.00000949
unfortunate,A,MN,-0.00000948
worthless,A,MN,-0.00000944
unimpressive,A,MN,-0.00000942
merely,R,MN,-0.00000939
lazy,A,MN,-0.00000931
downright,R,MN,-0.00000928
avoid,A,MN,-0.00000925
female,A,MN,-0.00000924
unoriginal,A,MN,-0.00000923
apologetic,A,MN,-0.00000915
naked,A,MN,-0.00000913
FALSE,A,MN,-0.00000906
self-centered,A,MN,-0.00000906
past,A,MN,-0.00000905
watery,A,MN,-0.00000905
unbearable,A,MN,-0.000009
front,A,MN,-0.00000896
horrid,A,MN,-0.00000896
confusing,A,MN,-0.00000893
sexual,A,MN,-0.00000883
clumsy,A,MN,-0.00000874
fest,A,MN,-0.00000873
nasty,A,MN,-0.00000865
better,R,MN,-0.00000865
correct,A,MN,-0.00000862
severely,R,MN,-0.00000855
inexperienced,A,MN,-0.00000855
funny,A,MN,-0.00000842
mostly,R,MN,-0.00000842
inappropriate,A,MN,-0.00000841
drunk,A,MN,-0.00000837
amateur,A,MN,-0.00000821
likely,A,MN,-0.00000812
else,A,MN,-0.00000812
brown,A,MN,-0.00000807
meaningless,A,MN,-0.00000804
unappealing,A,MN,-0.00000798
specifically,R,MN,-0.00000795
apparent,A,MN,-0.00000792
your,A,MN,-0.00000789
alright,A,MN,-0.00000783
mindless,A,MN,-0.00000775
clueless,A,MN,-0.00000771
video,A,MN,-0.00000766
limited,A,MN,-0.0000076
inconsistent,A,MN,-0.00000759
several,A,MN,-0.00000751
unhelpful,A,MN,-0.00000749
musical,A,MN,-0.00000748
gratuitous,A,MN,-0.00000747
limp,A,MN,-0.00000746
therefore,R,MN,-0.0000074
serious,A,MN,-0.00000738
correctly,R,MN,-0.00000729
sophomoric,A,MN,-0.00000729
fishy,A,MN,-0.00000728
passable,A,MN,-0.00000727
insipid,A,MN,-0.00000721
uninspiring,A,MN,-0.00000719
giant,A,MN,-0.00000718
unbelievably,R,MN,-0.00000716
generic,A,MN,-0.00000697
irritated,A,MN,-0.00000691
grossly,R,MN,-0.0000069
blatant,A,MN,-0.00000689
eatable,A,MN,-0.00000686
additional,A,MN,-0.00000685
essentially,R,MN,-0.0000068
exact,A,MN,-0.00000679
devoid,A,MN,-0.00000677
incoherent,A,MN,-0.00000676
wet,A,MN,-0.00000673
superficial,A,MN,-0.00000672
ordinary,A,MN,-0.00000671
worn,A,MN,-0.00000667
moronic,A,MN,-0.0000066
old,A,MN,-0.00000655
bitter,A,MN,-0.00000655
awkward,A,MN,-0.00000654
frustrating,A,MN,-0.00000653
sour,A,MN,-0.00000653
stereotypical,A,MN,-0.00000652
unlikeable,A,MN,-0.00000649
neither,R,MN,-0.00000644
huge,A,MN,-0.00000642
mad,A,MN,-0.00000638
ten,A,MN,-0.00000637
unimpressed,A,MN,-0.00000636
lifeless,A,MN,-0.00000636
pitiful,A,MN,-0.00000635
aside,R,MN,-0.00000633
major,A,MN,-0.00000625
tacky,A,MN,-0.00000623
overlong,A,MN,-0.00000622
disinterested,A,MN,-0.00000617
cant,A,MN,-0.00000615
dismal,A,MN,-0.00000613
tiresome,A,MN,-0.00000607
minimal,A,MN,-0.00000599
absent,A,MN,-0.00000597
melodramatic,A,MN,-0.00000597
unsatisfying,A,MN,-0.00000596
unlikable,A,MN,-0.00000593
implausible,A,MN,-0.0000059
rotten,A,MN,-0.00000587
laughably,R,MN,-0.00000587
irritating,A,MN,-0.00000584
bloated,A,MN,-0.00000582
worse,R,MN,-0.00000577
excited,A,MN,-0.00000571
incorrectly,R,MN,-0.00000561
simplistic,A,MN,-0.00000559
straight,R,MN,-0.00000557
porn,A,MN,-0.00000556
damn,A,MN,-0.00000556
thick,A,MN,-0.00000554
